Time,Ry,Ay,Vy,Y
0.291,179.058228,-7.166790765,-1.482470746,-0.145908705
0.292,181.940506,-7.124404324,-1.489595151,-0.1473983
0.293,184.941437,-7.080272985,-1.496675424,-0.148894975
0.294,188.076172,-7.034173941,-1.503709598,-0.150398685
0.295,191.360886,-6.985869324,-1.510695467,-0.151909381
0.296,194.811798,-6.935120618,-1.517630588,-0.153427011
0.297,198.443406,-6.881714618,-1.524512302,-0.154951523
0.298,202.266708,-6.825489588,-1.531337792,-0.156482861
0.299,206.288284,-6.766348765,-1.538104141,-0.158020965
0.3,210.510467,-6.704257838,-1.544808398,-0.159565774
0.301,214.932281,-6.639231162,-1.55144763,-0.161117221
0.302,219.551285,-6.571304632,-1.558018934,-0.16267524
0.303,224.36557,-6.500506324,-1.564519441,-0.16423976
0.304,229.375168,-6.426835765,-1.570946276,-0.165810706
0.305,234.583451,-6.350243368,-1.57729652,-0.167388003
0.306,239.997742,-6.270621441,-1.583567141,-0.16897157
0.307,245.629349,-6.187803691,-1.589754945,-0.170561325
0.308,251.493286,-6.101569324,-1.595856514,-0.172157181
0.309,257.607559,-6.011653544,-1.601868168,-0.173759049
0.31,263.991516,-5.917771824,-1.60778594,-0.175366835
0.311,270.664108,-5.819645471,-1.613605585,-0.176980441
0.312,277.642303,-5.717024956,-1.61932261,-0.178599763
0.313,284.939606,-5.609711676,-1.624932322,-0.180224696
0.314,292.565338,-5.497568559,-1.63042989,-0.181855126
0.315,300.524719,-5.380518838,-1.635810409,-0.183490936
0.316,308.819107,-5.258542544,-1.641068952,-0.185132005
0.317,317.446701,-5.131666162,-1.646200618,-0.186778206
0.318,326.403336,-4.999950941,-1.651200569,-0.188429406
0.319,335.683288,-4.863481059,-1.65606405,-0.19008547
0.32,345.280563,-4.722344662,-1.660786394,-0.191746257
0.321,355.190521,-4.576609985,-1.665363004,-0.19341162
0.322,365.411071,-4.426307779,-1.669789312,-0.195081409
0.323,375.94371,-4.271416029,-1.674060728,-0.19675547
0.324,386.793045,-4.111866985,-1.678172595,-0.198433642
0.325,397.965149,-3.947571338,-1.682120166,-0.200115762
0.326,409.464981,-3.778456162,-1.685898623,-0.201801661
0.327,421.293853,-3.604502162,-1.689503125,-0.203491164
0.328,433.447129,-3.425777515,-1.692928902,-0.205184093
0.329,445.914032,-3.242440706,-1.696171343,-0.206880264
0.33,458.679215,-3.054717426,-1.69922606,-0.208579491
0.331,471.7247,-2.862872059,-1.702088933,-0.210281579
0.332,485.032715,-2.667165956,-1.704756098,-0.211986336
0.333,498.587463,-2.467831426,-1.70722393,-0.21369356
0.334,512.37558,-2.265065,-1.709488995,-0.215403048
0.335,526.385361,-2.059038809,-1.711548034,-0.217114597
0.336,540.605682,-1.849916441,-1.71339795,-0.218827994
0.337,555.02481,-1.637870441,-1.715035821,-0.22054303
0.338,569.630554,-1.423080088,-1.716458901,-0.222259489
0.339,584.411743,-1.205709662,-1.71766461,-0.223977154
0.34,599.360291,-0.985878074,-1.718650488,-0.225695804
0.341,614.473755,-0.76362125,-1.71941411,-0.227415218
0.342,629.75647,-0.538875441,-1.719952985,-0.229135171
0.343,645.2193,-0.311480882,-1.720264466,-0.230855436
0.344,660.877746,-0.081209618,-1.720345676,-0.232575782
0.345,676.747956,0.152175824,-1.7201935,-0.234295975
0.346,692.842865,0.388865662,-1.719804634,-0.23601578
0.347,709.168457,0.628947897,-1.719175686,-0.237734955
0.348,725.721527,0.872375397,-1.718303311,-0.239453259
0.349,742.489929,1.118969544,-1.717184341,-0.241170443
0.35,759.455078,1.368457029,-1.715815884,-0.242886259
0.351,776.5961,1.620530882,-1.714195353,-0.244600454
0.352,793.895416,1.874932588,-1.712320421,-0.246312775
0.353,811.343262,2.131518559,-1.710188902,-0.248022964
0.354,828.940857,2.390306721,-1.707798596,-0.249730762
0.355,846.701325,2.651490074,-1.705147105,-0.251435909
0.356,864.6474,2.915402941,-1.702231702,-0.253138141
0.357,882.806976,3.182455529,-1.699049247,-0.25483719
0.358,901.207275,3.453048162,-1.695596199,-0.256532786
0.359,919.86853,3.727478382,-1.69186872,-0.258224655
0.36,938.797943,4.005852103,-1.687862868,-0.259912518
0.361,957.985565,4.288023015,-1.683574845,-0.261596093
0.362,977.401184,4.573546824,-1.679001298,-0.263275094
0.363,996.993622,4.861670912,-1.674139628,-0.264949234
0.364,1016.691589,5.151346897,-1.668988281,-0.266618222
0.365,1036.405884,5.441263,-1.663547018,-0.268281769
0.366,1056.033142,5.729899147,-1.657817119,-0.269939586
0.367,1075.46051,6.015595735,-1.651801523,-0.271591388
0.368,1094.570861,6.296630309,-1.645504892,-0.273236893
0.369,1113.249939,6.571322632,-1.63893357,-0.274875826
0.37,1131.39325,6.838136029,-1.632095434,-0.276507922
0.371,1148.914368,7.095799529,-1.624999634,-0.278132921
0.372,1165.753509,7.343433956,-1.6176562,-0.279750577
0.373,1181.885101,7.58066325,-1.610075537,-0.281360653
0.374,1197.323425,7.807697426,-1.60226784,-0.282962921
0.375,1212.124573,8.025361368,-1.594242478,-0.284557163
0.376,1226.384216,8.235062,-1.586007416,-0.286143171
0.377,1240.229981,8.438676191,-1.57756874,-0.287720739
0.378,1253.80896,8.638367059,-1.568930373,-0.28928967
0.379,1267.272766,8.836364206,-1.560094009,-0.290849764
0.38,1280.760315,9.034710515,-1.551059298,-0.292400823
0.381,1294.383301,9.235048544,-1.54182425,-0.293942647
0.382,1308.214111,9.438442809,-1.532385807,-0.295475033
